Player Name,Year,Rounds Played in Year,Average Fairway Percentage,Average Driving Distance,Average GIR,Average Putts,Average Scrambling,Average Score,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Top 10 Placements
Henrik Stenson,2018,60,75.19,291.5,73.51,29.93,60.67,69.617,-0.207,1.153,0.427,0.96,-0.027,5
Ryan Armour,2018,109,73.58,283.5,68.22,29.31,60.13,70.758,-0.058,0.337,-0.012,0.213,0.194,3
Chez Reavie,2018,93,72.24,286.5,68.67,29.12,62.27,70.432,0.192,0.674,0.183,0.437,-0.137,3
Ryan Moore,2018,78,71.94,289.2,68.8,29.17,64.16,70.015,-0.271,0.941,0.406,0.532,0.273,5
Brian Stuard,2018,103,71.44,278.9,67.12,29.11,59.23,71.038,0.164,0.062,-0.227,0.099,0.026,3
Brian Gay,2018,103,71.37,282.9,64.52,28.25,63.26,70.28,0.442,0.565,-0.166,0.036,0.253,6
Kyle Stanley,2018,93,71.29,295.7,71.09,29.89,54.8,70.404,0.037,0.686,0.378,0.298,-0.027,5
Emiliano Grillo,2018,94,70.16,295.2,68.84,29.04,61.05,70.152,0.546,1.133,0.364,0.345,-0.122,5
Russell Henley,2018,77,70.03,293,68.77,29.8,54.33,70.489,0.167,0.541,0.093,0.467,-0.186,3
Jim Furyk,2018,50,69.91,280.5,63.19,28.73,62.58,70.342,0.389,0.412,-0.392,0.179,0.235,2
Steve Wheatcroft,2018,60,69.79,288.9,66.57,29.29,61.03,71.631,-0.128,-0.339,0.112,-0.065,-0.258,1
Kevin Streelman,2018,94,69.11,295.1,71.56,29.67,60.93,70.436,-0.25,0.619,0.439,0.415,0.014,5
C.T. Pan,2018,104,68.98,292.7,71.2,29.66,56.89,70.457,-0.067,0.478,0.215,0.267,0.063,1
David Lingmerth,2018,82,68.93,285.4,63.03,28.5,58.57,71.043,0.229,-0.007,0.006,-0.16,-0.081,
Keegan Bradley,2018,98,67.9,299.6,69.18,29.68,56.78,70.303,-0.358,0.793,0.237,0.888,0.026,4
Rafa Cabrera Bello,2018,75,67.85,295.1,70.16,29.47,57.98,69.887,0.273,1.112,0.256,0.487,0.096,4
Billy Horschel,2018,86,67.8,295.4,71.75,29.46,58.03,70.154,0.392,1.112,0.538,0.352,-0.169,3
Russell Knox,2018,94,67.7,291.7,69.57,29.7,59.43,70.568,-0.088,0.383,0.059,0.263,0.149,3
Ben Crane,2018,65,67.52,281.1,64.88,28.69,63,71.097,0.332,0.176,-0.302,-0.038,0.184,1
Vaughn Taylor,2018,83,67.51,286.1,67.02,29.15,59.91,70.692,-0.08,0.219,-0.005,0.305,-0.002,3
Brian Harman,2018,94,67.14,291.9,67.59,29.29,56.95,70.536,0.273,0.29,0.137,-0.024,-0.096,8
Sam Ryder,2018,82,66.91,297.3,72.08,29.88,56.47,70.914,-0.349,0.154,0.203,0.399,-0.099,3
"Ted Potter, Jr.",2018,87,66.83,286,63.03,28.45,57.51,71.024,0.074,-0.094,-0.074,-0.2,0.105,1
Austin Cook,2018,107,66.76,292.3,66.51,28.72,62.02,70.469,0.315,0.569,0.12,-0.045,0.179,3
